"","data_inici","nom_regio","hospitalizaciones","defunciones","Ingresos_UCI"
"291","03/05/2021","GIRONA",59,20,43
"292","03/05/2021","LLEIDA",38,6,20
"293","03/05/2021","TERRES DE L'EBRE",3,1,16
"294","10/05/2021","BARCELONA",287,44,261
"295","10/05/2021","CAMP DE TARRAGONA",8,2,37
"296","10/05/2021","CATALUNYA CENTRAL",28,5,28
"297","10/05/2021","GIRONA",15,2,37
"298","10/05/2021","LLEIDA",14,3,18
"299","17/05/2021","BARCELONA",209,29,198
"300","17/05/2021","CAMP DE TARRAGONA",15,3,32
"301","17/05/2021","CATALUNYA CENTRAL",7,1,18
"302","17/05/2021","GIRONA",15,3,34
"303","17/05/2021","LLEIDA",2,2,11
"304","24/05/2021","BARCELONA",154,23,174
"305","24/05/2021","CAMP DE TARRAGONA",9,3,29
"306","24/05/2021","CATALUNYA CENTRAL",8,2,12
"307","24/05/2021","GIRONA",13,3,26
"308","24/05/2021","TERRES DE L'EBRE",1,1,8
"309","31/05/2021","BARCELONA",126,15,144
"310","31/05/2021","CATALUNYA CENTRAL",3,1,10
"311","31/05/2021","GIRONA",7,3,16
"312","31/05/2021","TERRES DE L'EBRE",2,1,5
"313","07/06/2021","BARCELONA",88,15,132
"314","07/06/2021","CATALUNYA CENTRAL",4,1,7
"315","07/06/2021","GIRONA",12,2,14
"316","07/06/2021","LLEIDA",3,1,3
"317","14/06/2021","BARCELONA",91,14,102
"318","14/06/2021","CAMP DE TARRAGONA",2,1,16
"319","14/06/2021","CATALUNYA CENTRAL",1,1,8
"320","14/06/2021","GIRONA",5,1,17
"321","21/06/2021","BARCELONA",74,13,96
"322","28/06/2021","BARCELONA",53,10,99
"323","28/06/2021","CATALUNYA CENTRAL",3,1,2
"324","05/07/2021","BARCELONA",154,19,145
"325","05/07/2021","CAMP DE TARRAGONA",1,1,15
"326","05/07/2021","GIRONA",2,1,16
"327","12/07/2021","BARCELONA",508,54,239
"328","12/07/2021","CAMP DE TARRAGONA",1,1,15
"329","12/07/2021","CATALUNYA CENTRAL",23,7,14
"330","12/07/2021","GIRONA",13,3,30
"331","12/07/2021","LLEIDA",3,1,6
"332","19/07/2021","BARCELONA",914,144,383
"333","19/07/2021","CAMP DE TARRAGONA",33,9,33
"334","19/07/2021","CATALUNYA CENTRAL",8,3,19
"335","19/07/2021","GIRONA",69,21,52
"336","19/07/2021","LLEIDA",15,6,18
"337","26/07/2021","BARCELONA",1102,182,422
"338","26/07/2021","CAMP DE TARRAGONA",47,14,37
"339","26/07/2021","CATALUNYA CENTRAL",31,10,20
"340","26/07/2021","GIRONA",94,16,65
"341","26/07/2021","LLEIDA",7,2,21
"342","02/08/2021","BARCELONA",926,159,429
"343","02/08/2021","CAMP DE TARRAGONA",37,16,34
"344","02/08/2021","CATALUNYA CENTRAL",16,10,21
"345","02/08/2021","GIRONA",37,9,62
"346","02/08/2021","LLEIDA",10,6,27
"347","09/08/2021","BARCELONA",801,150,388
"348","09/08/2021","CAMP DE TARRAGONA",38,14,28
"349","09/08/2021","CATALUNYA CENTRAL",24,8,20
"350","09/08/2021","GIRONA",80,24,54
"351","09/08/2021","LLEIDA",15,5,22
"352","09/08/2021","TERRES DE L'EBRE",2,1,5
"353","16/08/2021","ALT PIRINEU I ARAN",1,1,0
"354","16/08/2021","BARCELONA",600,112,343
"355","16/08/2021","CAMP DE TARRAGONA",23,7,35
"356","16/08/2021","CATALUNYA CENTRAL",25,5,16
"357","16/08/2021","GIRONA",82,26,43
"358","16/08/2021","LLEIDA",14,4,18
"359","16/08/2021","TERRES DE L'EBRE",1,1,6
"360","23/08/2021","BARCELONA",427,77,296
"361","23/08/2021","CAMP DE TARRAGONA",14,7,28
"362","23/08/2021","CATALUNYA CENTRAL",14,4,16
"363","23/08/2021","GIRONA",25,7,39
"364","23/08/2021","LLEIDA",15,3,15
"365","30/08/2021","BARCELONA",349,59,240
"366","30/08/2021","CAMP DE TARRAGONA",12,7,22
"367","30/08/2021","CATALUNYA CENTRAL",14,3,18
"368","30/08/2021","GIRONA",35,7,24
"369","30/08/2021","LLEIDA",10,3,11
"370","06/09/2021","BARCELONA",325,60,191
"371","06/09/2021","CAMP DE TARRAGONA",2,1,16
"372","06/09/2021","CATALUNYA CENTRAL",7,2,16
"373","06/09/2021","GIRONA",29,7,25
"374","06/09/2021","LLEIDA",7,2,12
"375","13/09/2021","BARCELONA",157,35,144
"376","13/09/2021","CAMP DE TARRAGONA",4,3,14
"377","13/09/2021","CATALUNYA CENTRAL",9,2,14
"378","13/09/2021","GIRONA",6,6,17
"379","13/09/2021","LLEIDA",1,1,9
"380","20/09/2021","BARCELONA",112,24,118
"381","20/09/2021","CAMP DE TARRAGONA",2,2,10
"382","20/09/2021","CATALUNYA CENTRAL",8,2,12
"383","20/09/2021","GIRONA",13,3,12
"384","27/09/2021","BARCELONA",83,17,87
"385","27/09/2021","CATALUNYA CENTRAL",3,2,13
"386","27/09/2021","GIRONA",5,3,8
"387","27/09/2021","LLEIDA",2,1,5
"388","04/10/2021","BARCELONA",47,7,67
"389","04/10/2021","CAMP DE TARRAGONA",1,1,15
"390","04/10/2021","GIRONA",4,2,7
"391","04/10/2021","LLEIDA",4,6,4
"392","11/10/2021","BARCELONA",60,13,55
"393","11/10/2021","CATALUNYA CENTRAL",5,1,5
"394","11/10/2021","LLEIDA",2,1,5
"395","18/10/2021","BARCELONA",32,8,58
"396","18/10/2021","LLEIDA",4,1,5
"397","25/10/2021","BARCELONA",31,4,56
"398","25/10/2021","CAMP DE TARRAGONA",2,1,10
